"","Metric","Naive.Bayes","Logistic","LASSO","EN","RF","Class.Tree","adaBoost","XGBoost"
"1","Accuracy",0.666666666666667,0.888888888888889,0.888888888888889,0.888888888888889,0.777777777777778,0.555555555555556,0.888888888888889,0.777777777777778
"2","Sensitivity",0.857142857142857,1,1,1,1,0.714285714285714,1,1
"3","Specificity",0,0.5,0.5,0.5,0,0,0.5,0
"4","Precision",0.75,0.875,0.875,0.875,0.777777777777778,0.714285714285714,0.875,0.777777777777778
"5","F1",0.8,0.933333333333333,0.933333333333333,0.933333333333333,0.875,0.714285714285714,0.933333333333333,0.875
"6","MCC",-0.188982236504614,0.661437827766148,0.661437827766148,0.661437827766148,NA,-0.285714285714286,0.661437827766148,NA
"7","AUC",0.857142857142857,0.642857142857143,0.857142857142857,0.857142857142857,0.857142857142857,0.357142857142857,0.857142857142857,0.714285714285714
"8","AUCPR",0.984126984126984,0.832568027210884,0.970663265306122,0.970663265306122,0.970663265306122,0.743764172335601,0.970663265306122,0.948412698412698
"9","RMSE",0.359631599526371,0.942809051917467,0.387240531386546,0.340709059592264,0.339800595120792,0.545552853093836,0.333333395554732,0.40235625760747
"10","TP",6,7,7,7,7,5,7,7
"11","FP",2,1,1,1,2,2,1,2
"12","FN",1,0,0,0,0,2,0,0
"13","TN",0,1,1,1,0,0,1,0
"14","Accuracy",0.666666666666667,0.888888888888889,1,1,0.666666666666667,0.555555555555556,0.777777777777778,0.666666666666667
"15","Sensitivity",0.666666666666667,0.833333333333333,1,1,1,0.833333333333333,1,1
"16","Specificity",0.666666666666667,1,1,1,0,0,0.333333333333333,0
"17","Precision",0.8,1,1,1,0.666666666666667,0.625,0.75,0.666666666666667
"18","F1",0.727272727272727,0.909090909090909,1,1,0.8,0.714285714285714,0.857142857142857,0.8
"19","MCC",0.316227766016838,0.790569415042095,1,1,NA,-0.25,0.5,NA
"20","AUC",0.777777777777778,1,1,1,0.861111111111111,0.416666666666667,0.888888888888889,1
"21","AUCPR",0.918055555555556,1,1,1,0.951388888888889,0.659722222222222,0.979166666666667,1
"22","RMSE",0.456635639894073,1.15470053837778,0.257859621972469,0.251232689785359,0.40788506006254,0.568057233367667,0.471701674918492,0.396504552749971
"23","TP",4,5,6,6,6,5,6,6
"24","FP",1,0,0,0,3,3,2,3
"25","FN",2,1,0,0,0,1,0,0
"26","TN",2,3,3,3,0,0,1,0
"27","Accuracy",0.777777777777778,0.555555555555556,0.888888888888889,0.777777777777778,1,0.444444444444444,1,0.777777777777778
"28","Sensitivity",0.75,0.625,1,0.875,1,0.375,1,0.75
"29","Specificity",1,0,0,0,1,1,1,1
"30","Precision",1,0.833333333333333,0.888888888888889,0.875,1,1,1,1
"31","F1",0.857142857142857,0.714285714285714,0.941176470588235,0.875,1,0.545454545454545,1,0.857142857142857
"32","MCC",0.5,-0.25,NA,-0.125,1,0.25,1,0.5
"33","AUC",1,0.625,0.75,0.875,1,0.6875,1,1
"34","AUCPR",1,0.913740079365079,0.977430555555556,0.993055555555556,1,0.95465182965183,1,1
"35","RMSE",0.321743308055799,1.37473202860117,0.34993552638885,0.330621328180205,0.297534311746842,0.554456963672909,0.118564511328342,0.393746685667193
"36","TP",6,5,8,7,8,3,8,6
"37","FP",0,1,1,1,0,0,0,0
"38","FN",2,3,0,1,0,5,0,2
"39","TN",1,0,0,0,1,1,1,1
"40","Accuracy",1,0.666666666666667,1,1,1,0.555555555555556,1,1
"41","Sensitivity",1,0.571428571428571,1,1,1,0.571428571428571,1,1
"42","Specificity",1,1,1,1,1,0.5,1,1
"43","Precision",1,1,1,1,1,0.8,1,1
"44","F1",1,0.727272727272727,1,1,1,0.666666666666667,1,1
"45","MCC",1,0.478091443733757,1,1,1,0.0597614304667197,1,1
"46","AUC",1,0.785714285714286,1,1,1,0.535714285714286,1,1
"47","AUCPR",1,0.968253968253968,1,1,1,0.809629145327086,1,1
"48","RMSE",0.222307088536418,1.41421356236731,0.288760276283406,0.274452873061385,0.273691635076981,0.54544992677468,8.31939937976232e-07,0.338278088225043
"49","TP",7,4,7,7,7,4,7,7
"50","FP",0,0,0,0,0,1,0,0
"51","FN",0,3,0,0,0,3,0,0
"52","TN",2,2,2,2,2,1,2,2
"53","Accuracy",0.666666666666667,0.888888888888889,0.555555555555556,0.666666666666667,0.555555555555556,0.777777777777778,0.555555555555556,0.444444444444444
"54","Sensitivity",1,1,1,1,1,1,1,1
"55","Specificity",0.4,0.8,0.2,0.4,0.2,0.6,0.2,0
"56","Precision",0.571428571428571,0.8,0.5,0.571428571428571,0.5,0.666666666666667,0.5,0.444444444444444
"57","F1",0.727272727272727,0.888888888888889,0.666666666666667,0.727272727272727,0.666666666666667,0.8,0.666666666666667,0.615384615384615
"58","MCC",0.478091443733757,0.8,0.316227766016838,0.478091443733757,0.316227766016838,0.632455532033676,0.316227766016838,NA
"59","AUC",0.8,0.9,0.7,0.85,0.9,0.8,0.9,0.625
"60","AUCPR",0.704166666666667,0.825,0.763095238095238,0.829166666666667,0.9125,0.708333333333333,0.9125,0.558333333333333
"61","RMSE",0.514211045142221,0.942809041582063,0.546718167540514,0.454361185243667,0.470107789058353,0.542968521016472,0.611943902048835,0.494639449284698
"62","TP",4,4,4,4,4,4,4,4
"63","FP",3,1,4,3,4,2,4,5
"64","FN",0,0,0,0,0,0,0,0
"65","TN",2,4,1,2,1,3,1,0
